id,phase,title,owner,not_before,duration,predecessors,hours,section,inputs,steps,output,acceptance,reviewer,review_hours,status,percent,start_day,finish_day,target_not_before
A04,Mobilize,Normalize all existing source leads,KE,2,3,,18,3,32 general and 19 Norm source-register rows,"Retain original IDs; distinguish models, software, data, articles and catalogs; assign processing recipe and priority.",source_register.csv,All 51 prior rows mapped; catalogs remain acquisition leads.,MD,3,Not started,0,2,4,2
A05,Mobilize,Approve rights and data-use contract fields,MD,5,5,A04,20,3,Candidate source terms and intended internal use,"Record acquisition, OCR, retrieval, SFT, evaluation, processor, retention and derived-weight permissions separately; resolve publisher and former-client rights.",rights_ledger.jsonl and grant templates,Every admitted use has evidence; unknown permissions remain held.,SEC,8,Not started,0,5,9,3
A06,Mobilize,Approve hosting and access architecture,SEC,4,5,A01; A02,24,2,Data classes and expected GPU capacity,"Choose region and processors; separate quarantine, retrieval, training and evaluator identities; allow model-download egress only.",environment_design.md,Evaluator answer store cannot be read by trainer or production retriever.,HP,4,Not started,0,4,8,3
A07,Mobilize,Create annotation and acceptance rubrics,TD,4,5,A01; A02,24,8,Launch questions and expert availability,"Define factual, visual, numeric and missing-evidence rubrics; fix critical-error definitions and review rules.",rubrics_v1.json,Two reviewers agree on trial labels and adjudication method.,EXP,8,Not started,0,4,8,4
G0,Gate,G0 authorize baseline work,MD,10,1,A03; A05; A06; A07,4,1,"Charter, rights route, staffing and environment design","Record scope, spend limit, named owners and unresolved source holds.",gate_G0.json,Only cleared sources and approved environment may enter baseline work.,HP,2,Not started,0,10,10,10
C01,Intake,Build intake manifest and quarantine handler,AI,15,3,B01; A05; G0,18,4,Authorized source files and grants,"Compute asset SHA256, sniff MIME, scan in isolation, block macros, assign source and family IDs, record custody and parent attachments.",intake_manifest.jsonl,Repeated intake is idempotent; rejected or held assets cannot advance.,SEC,4,Not started,0,15,17,14
C02,Intake,Acquire first cleared document sample,KE,14,3,B01; A05; G0,16,3,P01 P02 and authorized original expert sample,Obtain exact official editions or authorized files; retain URL/date/edition and item-level notices; admit only cleared uses.,initial raw batch and grant records,Full documents present; no preview or search snippet presented as a complete work.,MD,3,Not started,0,14,16,14
C03,Intake,Implement digital PDF and HTML extraction,AI,18,3,C01; C02,20,5,Cleared digital PDF or HTML sample,"Use Docling or equivalent pinned parser; retain page/heading coordinates, table cells and captions; save JSON and Markdown views.",documents.jsonl and figures,Reading order and page coverage checked against originals.,KE,6,Not started,0,18,20,17
C04,Intake,Implement scan OCR and image extraction,OPS,18,4,C01; C02,24,5,Scanned pages and engineering figure sample,Render lossless page images near 300 dpi; orient/deskew a derivative; OCR; preserve original coordinates and transforms.,"page PNGs, regions.jsonl and OCR flags","All critical values, units, subscripts and arrows independently checked; unreadable fields stay unknown.",PAE,8,Not started,0,18,21,17
C05,Intake,Implement Word and slide extraction,KE,23,3,C01,16,6,Authorized DOCX and PPTX work papers,"Extract paragraphs, tables, notes and image anchors; record revisions and slide IDs; do not accept tracked changes silently.",normalized work-paper records,"Comments, notes and revisions are explicitly included or excluded by rule.",PAE,4,Not started,0,23,25,18
C06,Intake,Implement engineering image annotation,PAE,30,5,C04; A07,28,7,"Approved PFD, P&ID, sketch and trend examples","Create overview plus bounded crops; label legibility, tags, units, values, arrows and connections; attach caption and scope.",visual_labels.jsonl,No inferred hidden connectivity; every label points to a visible region.,EXP,12,Not started,0,30,34,21
C07,Intake,Implement email thread normalization,KE,26,4,C01; A05,20,6,Authorized EML or MBOX export and attachments,"Preserve Message-ID, replies, timezones and attachment relationships; deduplicate quotes; redact identities; separate question-time facts from later outcomes.",threads.jsonl and attachment manifest,Chronology retained; replies and third-party attachments receive separate permission review.,SEC,5,Not started,0,26,29,21
C08,Intake,Implement tabular operating-data conversion,PAE,26,4,C01,24,7,Authorized CSV XLSX or historian export,"Export values with units, timestamps, timezone and quality flags; preserve original formulas; distinguish gauge/absolute pressure and missing readings.",measurements.parquet and data_dictionary.json,Sampled values reconcile to original; no silent interpolation or unit conversion.,EXP,6,Not started,0,26,29,21
C09,Intake,Implement interview transcription route,KE,30,4,C01; A05,20,6,Consented WAV MP3 MP4 interview sample,Create timestamped transcript and speaker labels; verify technical terms with expert; select only instructional frames; link all derivatives to source time.,"segments.jsonl, transcript and selected PNGs","Expert approves technical transcript; separate grants for recording, slides and reuse.",EXP,10,Not started,0,30,33,24
C10,Intake,Normalize text tables equations and units,PAE,35,4,C03; C04; C05; C08,22,8,Extracted documents and measurements,Normalize Unicode and whitespace conservatively; keep raw text; represent tables with row/column headers and equations with variable definitions.,canonical evidence records,"Decimal signs, inequalities, exponents, units and footnotes reconcile; failed regions quarantined.",EXP,8,Not started,0,35,38,25
C11,Intake,Add deduplication and case-family grouping,AI,30,3,C03; C04; C07,16,8,"Asset hashes, text and attachment links","Detect exact duplicates and near duplicates; group republished articles, revisions, email replies, crops and synthetic variants into one family.",family_manifest.jsonl,Known duplicate pairs stay together; similarity hits reviewed rather than deleted blindly.,KE,6,Not started,0,30,32,25
C12,Intake,Create batch audit and retry controls,OPS,39,2,C10; C11,10,4,Extraction results and failures,"Record parser/model revision, state, failure reason and output hashes; retry only changed or failed assets; keep held rows out of downstream exports.",batch_audit.jsonl and rejection queue,Reprocessing unchanged input produces no duplicate evidence or training records.,AI,3,Not started,0,39,40,28
D01,Curation,Author first original expert cases,KE,17,6,C02; A07,32,9,Cleared expert interviews or authored notes,"Capture symptom, regime, question-time evidence, alternatives, discriminating checks, outcome and limitations; get author sign-off.",case packets batch 1,No client identifiers or restricted source text without explicit clearance.,EXP,24,Not started,0,17,22,17
D02,Curation,Freeze initial family splits,TD,33,2,D01; C11,12,9,Family manifest and case inventory,Assign families to train/dev/test before variants; allocate evaluator-only answer access; tag all child assets with inherited split.,split_manifest_v1.jsonl,No family crosses splits; test-family answers absent from trainer and retrieval.,EXP,8,Not started,0,33,34,24
D03,Curation,Build first 400 reviewed SFT examples,KE,42,5,D02; C10; C06,40,10,Training families and structured evidence,Write 300 text and 100 visual prompt/completion records; attach evidence; check answer visibility and reviewer provenance.,train_v0.jsonl and linked PNGs,400 accepted records; every image resolves and every answer has review evidence.,EXP,50,Not started,0,42,46,26
D04,Curation,Build baseline development questions,TD,35,4,D02,18,16,Development families and rubric,"Create tasks from 20 dev families; separate prompts, references and scoring keys; ensure visual/text paired comparisons.",dev_v0 and gold answers,No development example enters SFT; task mix documented.,EXP,16,Not started,0,35,38,26
E01,Retrieval,Build evidence chunks and citation mapping,AI,39,3,C03; C06; C10,18,11,Canonical cleared evidence,"Split by section at proposed 400-800 tokenizer tokens; retain table/caption integrity, parent references, page regions, family and access metadata.",chunks.jsonl,Every chunk resolves to an authorized original and has deterministic ID.,KE,5,Not started,0,39,41,24
E02,Retrieval,Load lexical and vector retrieval index,AI,42,3,E01; B04,18,11,Approved chunks and pinned embedding model,Download and hash pinned Qwen3-Embedding-0.6B and Qwen3-Reranker-0.6B snapshots to AWS. Embed approved text; store vectors with model revision/dimension; create lexical index; apply access and split filters before candidates.,retrieval index v0,Known positives retrievable and unauthorized or test-answer chunks excluded.,SEC,5,Not started,0,42,44,27
E03,Retrieval,Create first validated calculation tools,PAE,18,8,A07; B01,40,11,Selected property and unit operations,Implement typed unit conversion and one bounded balance/property tool; validate independent values and out-of-range errors; record tool version.,tool schemas and reference fixtures,Golden values within preset tolerance; wrong units and unsupported fluids rejected.,EXP,16,Not started,0,18,25,18
G1,Gate,G1 accept working baseline,HP,47,1,B07; D03; D04; E02,4,1,"First 400 examples, compatibility report and evidence index",Review baseline readiness and checked tool availability; approve paired vision benchmark.,gate_G1.json,Model loads/trains/reloads; corpus and test segregation work; E03 completed.,TD,4,Not started,0,47,47,30
E04,Retrieval,Benchmark retrieval and tune chunk policy,AI,48,4,G1; E03,24,11,Engineer-labeled evidence queries,Measure recall at 20 candidates; test 400/600/800 token chunks and overlaps on dev data; use same settings across model comparisons.,retrieval_eval.csv and frozen policy,Proposed 90% recall@20 target assessed with denominators; missing evidence investigated.,PAE,6,Not started,0,48,51,31
E05,Retrieval,Add reranker and evidence packaging,AI,52,3,E04,16,11,Permitted retrieval candidates and M06,Rerank only authorized candidates; select top evidence within token budget; retain image region links and cited IDs.,context_pack schema and baseline,Citations resolve; forbidden candidates cannot enter reranker or output.,SEC,4,Not started,0,52,54,35
E06,Retrieval,Test revocation and index versioning,OPS,55,3,E05,16,11,Grant expiry fixture and indexed copies,"Revoke one source; remove text, vectors, images and cached contexts; verify old release is not served to unauthorized users.",revocation_report.json,Zero retrieval hits or cache leaks from revoked grant under tested identities.,SEC,5,Not started,0,55,57,36
F01,Baseline,Compare text OCR and native vision,TD,48,7,G1; E03,24,16,Paired development questions and untuned models,"Run Qwen3-8B text, Qwen3.5 text/OCR and Qwen3.5 image paths with identical evidence and tools; blind and counterbalance review.",baseline_predictions.jsonl and paired scores,"Record quality, critical errors, timing, GPU memory and cost; isolate image contribution.",EXP,30,Not started,0,48,54,31
F02,Baseline,Decide model and visual scope,HP,58,2,F01; E05; E06,10,16,Paired results and compatibility evidence,"Retain native vision only with supported quality or review-time gain; record selected model revision, accepted visual types and fallback.",architecture_decision.md,Five-point acceptance or 15% review-time improvement is supported; inconclusive results narrow scope.,TD,4,Not started,0,58,59,38
G2,Gate,G2 authorize adaptation tranche,MD,60,1,F02; E06,4,1,Architecture decision and refreshed forecast,Approve remaining spend and exact selected scope; defer unsupported image tasks.,gate_G2.json,"Rights, staffing and evidence justify continuation.",HP,3,Not started,0,60,60,40
D05,Curation,Acquire and admit production source batches,KE,48,25,G1,80,3,Prioritized cleared source list,Process launch documents and expert packets in weekly batches; follow the source routing sheet; keep excluded datasets out.,weekly intake batches,Coverage grows without converting catalog leads or uncleared previews into content.,MD,12,Not started,0,48,72,31
D06,Curation,Expand and reconcile 300 case families,KE,73,20,G2; D05,90,9,Accepted evidence and expert-authored incidents,"Assemble 180 train, 60 dev and 60 test families; track equipment and visual coverage; keep scenario variants within parent family.",family_manifest_v2.jsonl,300 independent families supported by provenance; at least 90 train and 30 each dev/test have usable visual evidence.,EXP,60,Not started,0,73,92,41
D07,Curation,Author remaining 1600 examples,KE,93,12,D06,90,10,Approved training families,"Add 1200 text and 400 image/text records to initial batch; follow diagnostic, clarification, tool, grounding and escalation quotas.",train_v1.jsonl,Final 1500 text and 500 visual examples; every answer has evidence and independent review.,EXP,160,Not started,0,93,104,61
D08,Curation,Build full development and locked suites,TD,93,10,D06,40,16,60 dev families and 60 locked test families,Create 120 locked case tasks and 180 challenge prompts; keep gold evaluator-only; tag task subtype and tolerances.,dev_v1 and sealed test v1,Test suite families disjoint; challenge prompts distinguished from independent incidents.,EXP,80,Not started,0,93,102,61
D09,Curation,Audit data rights lineage and contamination,KE,105,3,D07; D08,22,9,Final manifests and all derivative IDs,"Check grants, review states, exact/near duplicates and answer phrases against retrieval and prompts; trace teacher generation sources.",dataset_audit.json and release manifest,No unauthorized use or cross-split family; rejected records listed with reason.,SEC,6,Not started,0,105,107,71
D10,Curation,Package portable SFT datasets,AI,108,2,D09,14,10,Accepted JSONL and local images,"Validate schema, materialize image paths, create Hugging Face runtime rows; strip governance metadata from model inputs; hash export.",train/dev release and dataset_card.md,Images and placeholders match; no remote URL fetch; frozen test data not mounted on training host.,KE,4,Not started,0,108,109,74
F03,Training,Implement processor and token preflight,AI,61,5,G2; B07,26,13,Selected model processor and pilot examples,Use shipped chat template; check prefix masks and image tokens; count full processed length; reject records beyond 8192-token proposal.,preflight_report.json,No silent truncation; supervised labels only on approved answer tokens.,OPS,8,Not started,0,61,65,41
F04,Training,Set training configuration and tracking,HP,66,3,F03,14,14,Train compatibility and memory profile,"Start BF16 LoRA rank16, alpha32, one epoch, LR5e-5; freeze visual encoder; set batch1 accumulation16 seed17 and spend limit.",run_config.json and run tracker,"Config includes base/processor/data hashes, explicit module list and observed effective batch.",AI,4,Not started,0,66,68,46
F05,Training,Run pilot adapter learning curve,AI,69,6,F04; D03,30,14,First approved 400 examples and dev set,Train on 100/200/400 record subsets grouped by family; compare held-out dev quality and runtime; inspect failures and memorized passages.,learning_curve.csv and pilot adapters,"Stop on NaN, leakage, loss-mask errors or critical regression; do not use locked tests.",TD,8,Not started,0,69,74,49
F06,Training,Tune bounded development configurations,AI,85,12,F05,52,14,Pilot findings and expanding approved data,Compare ranks16/32 and LR5e-5/1e-4; at most eight configs per finalist; retain text-only and untuned controls.,experiment register and candidate recipe,"Selection based on dev quality, effort and critical errors; not training loss alone.",HP,8,Not started,0,85,96,55
F07,Training,Train final adapter and seed repeats,AI,110,3,D10; F06,20,14,Frozen 2000-example release and selected recipe,Train selected mixed model and text-adapter control; repeat finalist seeds; preserve checkpoints and budget/quality logs.,candidate adapter and seed results,No held-out reuse; exact inputs and settings reconstruct each run.,TD,6,Not started,0,110,112,76
F08,Training,Export reload and compare tuned candidate,AI,113,1,F07,8,15,Final adapter and pinned base,Save adapter safetensors/config and processor; reload in fresh environment; compare to untuned same-input model on dev.,candidate_manifest.json and adapter report,Tuning gain meets proposal or release keeps untuned baseline; memory and latency recorded.,HP,3,Not started,0,113,113,79
G3,Gate,G3 freeze release candidate,HP,114,1,F08; D08; D09,4,1,"Reproducible model, corpus, tools and development report",Freeze all release versions and commit candidate to independent evaluation.,gate_G3.json,2000 approved examples and 300 family manifest reconcile; no open critical development defect.,TD,3,Not started,0,114,114,80
H01,Application,Build internal evidence review interface,OPS,61,10,G2; E05,50,17,Context pack and brief schema,"Show source passage/image crop beside editable extracted facts and brief; capture acceptance, corrections and escalation reason.",review UI build,Reviewers can verify every cited source and correct misread values before accepting.,PAE,8,Not started,0,61,70,41
H02,Application,Build inference and tool service,AI,75,10,H01; E03,40,15,"Model baseline, tool schemas and auth policy",Add bounded inference endpoint; validate structured outputs and tool calls; reject arbitrary shell/URL actions; enforce request limits.,internal service build,Permissions enforced server-side; unknown tools/units rejected; no plant-control writes.,SEC,10,Not started,0,75,84,51
H03,Application,Integrate serving adapter and processor,AI,115,4,G3; H02,22,15,Frozen candidate and serving environment,Use supported Transformers serving first; test vLLM only if exact adapter/vision path works; compare quantized and original outputs before selection.,serving_manifest.json,Selected backend reproduces accepted answers and image preprocessing; no silent fallback to base model.,OPS,6,Not started,0,115,118,81
H04,Application,Build monitoring and controlled feedback queue,OPS,85,8,H02,36,17,Review logs and retention policy,"Record evidence IDs, release IDs, errors, latency and review outcomes; quarantine feedback; redact sensitive logs; implement access-aware deletion.",monitoring and feedback workflow,No online retraining; correction becomes data only after rights and expert review.,SEC,6,Not started,0,85,92,61
I01,Evaluation,Run locked independent technical evaluation,TD,119,5,H03; D08,28,16,Sealed 120 tasks and candidate service,"Independent reviewers score blind; apply prespecified denominators, tolerances and critical-error veto; log failures by family and modality.",locked_eval_v1.jsonl,"At least85% accepted diagnostic tasks,95% grounded claims,98% critical legible values and numeric checks; no critical failures.",EXP,60,Not started,0,119,123,85
I02,Evaluation,Run challenge and security tests,SEC,119,5,H03; D08,28,17,180 challenge prompts and access matrix,"Test image/text injections, fake citations, wrong units, cross-project access, expired grants, resource exhaustion and unsafe tool requests.",security_report.json,Zero unauthorized disclosure/actions in tested cases; no unresolved high-severity finding.,OPS,10,Not started,0,119,123,85
I03,Evaluation,Measure workload and reviewer efficiency,HP,119,5,H03; A03,20,16,"Fixed workload, baseline times and reviewers","Test five concurrent users, measured token/image budget and up to three tools; counterbalance human comparison tasks; compute per-accepted-brief cost.",performance_and_effort.csv,"Report p95, rejection rate and median review effort; investigate deviations from60-second proposal.",CD,8,Not started,0,119,123,86
I04,Evaluation,Remediate and prepare fresh evaluation cases,AI,124,6,I01; I02; I03,30,16,Failure records and independent reviewer capacity,Fix affected component; refresh holdout for material fixes exposed by locked suite; rerun targeted and critical regression tests.,remediation ledger and fresh holdout,"No reuse of exposed test cases as sole proof of corrected generalization. If insufficient cases, defer gate.",EXP,30,Not started,0,124,129,90
I05,Evaluation,Test backup restore and rollback,OPS,119,4,H03; H04,20,17,Versioned candidate and backup policy,Restore sources/review records within approved recovery window; deploy previous version; revoke access and verify audit trail.,restore_rollback_report.json,Four-business-hour restore and24-hour review-record loss objectives demonstrated or revised before approval.,SEC,5,Not started,0,119,122,90
I06,Evaluation,Sign technical security and release records,HP,130,3,I04; I05,10,17,Acceptance reports and resolved issue ledger,"Obtain separate Technical Director and security acceptance; package user guidance, monitoring and recovery procedures.",release_manifest.json,Single product release owner has both prerequisite acceptances.,TD,4,Not started,0,130,132,97
G4,Gate,G4 authorize supervised internal pilot,MD,133,1,I06,4,1,Signed release and operations readiness,Authorize only named internal users and supported tasks for four weeks.,gate_G4.json,No critical open defect; funding and reviewer coverage available.,HP,2,Not started,0,133,133,100
J01,Pilot,Onboard ten internal pilot users,CD,134,3,G4,18,18,Approved release and user list,"Train users to inspect evidence, correct units, reject unsupported answers and escalate issues; verify access groups.",onboarding records,Each user completes a supervised sample; no external access.,TD,4,Not started,0,134,136,101
J02,Pilot,Run supervised briefs and weekly reviews,PAE,137,14,J01,90,18,Internal engineering requests,"Target100 reviewed briefs; record acceptance, corrections, time and sources; second-review weekly sample; stop affected capability on critical defect.",pilot_briefs.jsonl and weekly metrics,"Every brief reviewed; limitations and incidents recorded, including refusals.",EXP,80,Not started,0,137,150,104
J03,Pilot,Measure pilot value and operating cost,HP,137,4,J01,20,18,Reviewed brief log and cloud/reviewer costs,"Compare accepted-brief effort with baseline task mix; report quality, availability, cost and uncertainty; forecast continuing service cost.",pilot_report.md,No savings claim without observed accepted quality and recorded labor.,CD,8,Not started,0,137,140,115
J04,Pilot,Prepare continuation and next backlog,MD,151,1,J02; J03,6,18,Pilot findings and risk register,"Recommend continue, narrow or stop; propose next data gaps and budget; customer use remains a separate rights and product decision.",continuation_memo.md,"Board receives evidence, residual limits and named owners.",TD,3,Not started,0,151,151,119
G5,Gate,G5 decide continuation,MD,152,1,J04,4,1,Pilot report and continuation memo,Record continue/narrow/stop decision and release scope.,gate_G5.json,No implied commercial launch or automatic model expansion.,HP,2,Not started,0,152,152,120
